  Nelder-Mead direct search function minimizer
function value for initial parameters = 186281.910279
  Scaled convergence tolerance is 0.00277582
Stepsize computed as 0.299573
LO-REDUCTION     617 65722.838019 65701.286452
LO-REDUCTION     619 65721.416762 65701.286452
LO-REDUCTION     621 65720.279553 65701.286452
EXTENSION        623 65720.271878 65698.188860
EXTENSION        625 65718.054351 65693.363088
LO-REDUCTION     627 65717.202912 65693.363088
LO-REDUCTION     629 65713.954616 65693.363088
LO-REDUCTION     631 65713.066737 65693.363088
LO-REDUCTION     633 65709.537095 65693.363088
LO-REDUCTION     635 65708.171237 65693.363088
LO-REDUCTION     637 65707.038297 65693.363088
LO-REDUCTION     639 65705.787127 65693.363088
LO-REDUCTION     641 65705.543345 65693.363088
LO-REDUCTION     643 65705.298454 65693.363088
LO-REDUCTION     645 65704.370321 65693.363088
LO-REDUCTION     647 65704.003169 65693.363088
REFLECTION       649 65702.603765 65692.616069
LO-REDUCTION     651 65701.286452 65692.616069
LO-REDUCTION     653 65700.880548 65692.616069
REFLECTION       655 65699.902574 65692.487307
LO-REDUCTION     657 65698.188860 65692.437963
LO-REDUCTION     659 65696.520936 65692.437963
REFLECTION       661 65695.890093 65692.025616
LO-REDUCTION     663 65695.749165 65692.025616
EXTENSION        665 65695.617255 65690.065194
LO-REDUCTION     667 65695.418914 65690.065194
LO-REDUCTION     669 65694.983342 65690.065194
HI-REDUCTION     671 65694.781010 65690.065194
EXTENSION        673 65694.760623 65689.241605
LO-REDUCTION     675 65694.099919 65689.241605
LO-REDUCTION     677 65693.959464 65689.241605
LO-REDUCTION     679 65693.363088 65689.241605
LO-REDUCTION     681 65693.165648 65689.241605
REFLECTION       683 65692.795367 65689.004308
EXTENSION        685 65692.616069 65687.771788
LO-REDUCTION     687 65692.487307 65687.771788
LO-REDUCTION     689 65692.461458 65687.771788
LO-REDUCTION     691 65692.437963 65687.771788
LO-REDUCTION     693 65692.025616 65687.771788
REFLECTION       695 65690.381068 65686.717631
LO-REDUCTION     697 65690.306089 65686.717631
EXTENSION        699 65690.291309 65685.700802
LO-REDUCTION     701 65690.065194 65685.700802
LO-REDUCTION     703 65689.768735 65685.700802
LO-REDUCTION     705 65689.669712 65685.700802
LO-REDUCTION     707 65689.406066 65685.700802
LO-REDUCTION     709 65689.241605 65685.700802
LO-REDUCTION     711 65689.004308 65685.700802
LO-REDUCTION     713 65688.989635 65685.700802
REFLECTION       715 65688.122233 65685.275508
EXTENSION        717 65688.029675 65683.755674
LO-REDUCTION     719 65688.010640 65683.755674
LO-REDUCTION     721 65687.780213 65683.755674
LO-REDUCTION     723 65687.771788 65683.755674
LO-REDUCTION     725 65686.805159 65683.755674
LO-REDUCTION     727 65686.770477 65683.755674
LO-REDUCTION     729 65686.717631 65683.755674
LO-REDUCTION     731 65686.626927 65683.755674
EXTENSION        733 65686.484359 65682.178676
LO-REDUCTION     735 65686.473826 65682.178676
LO-REDUCTION     737 65686.260492 65682.178676
LO-REDUCTION     739 65686.085728 65682.178676
LO-REDUCTION     741 65685.729215 65682.178676
LO-REDUCTION     743 65685.700802 65682.178676
LO-REDUCTION     745 65685.275508 65682.178676
LO-REDUCTION     747 65685.210962 65682.178676
LO-REDUCTION     749 65685.118876 65682.178676
LO-REDUCTION     751 65684.943259 65682.178676
LO-REDUCTION     753 65684.942610 65682.178676
LO-REDUCTION     755 65684.898555 65682.178676
EXTENSION        757 65684.603520 65681.474517
LO-REDUCTION     759 65684.136255 65681.474517
LO-REDUCTION     761 65683.893828 65681.474517
LO-REDUCTION     763 65683.874020 65681.474517
LO-REDUCTION     765 65683.755674 65681.474517
LO-REDUCTION     767 65683.700313 65681.474517
EXTENSION        769 65683.700201 65679.490082
LO-REDUCTION     771 65683.579857 65679.490082
LO-REDUCTION     773 65683.445577 65679.490082
LO-REDUCTION     775 65682.866169 65679.490082
LO-REDUCTION     777 65682.806133 65679.490082
LO-REDUCTION     779 65682.777890 65679.490082
EXTENSION        781 65682.470298 65678.152948
LO-REDUCTION     783 65682.178676 65678.152948
LO-REDUCTION     785 65682.162398 65678.152948
LO-REDUCTION     787 65681.935363 65678.152948
LO-REDUCTION     789 65681.654218 65678.152948
LO-REDUCTION     791 65681.611438 65678.152948
LO-REDUCTION     793 65681.488850 65678.152948
LO-REDUCTION     795 65681.474517 65678.152948
EXTENSION        797 65680.632469 65676.241362
LO-REDUCTION     799 65680.368813 65676.241362
LO-REDUCTION     801 65680.333690 65676.241362
LO-REDUCTION     803 65680.311645 65676.241362
LO-REDUCTION     805 65680.198321 65676.241362
LO-REDUCTION     807 65680.050840 65676.241362
EXTENSION        809 65679.767091 65675.043325
LO-REDUCTION     811 65679.490082 65675.043325
LO-REDUCTION     813 65678.985749 65675.043325
LO-REDUCTION     815 65678.915185 65675.043325
LO-REDUCTION     817 65678.781876 65675.043325
EXTENSION        819 65678.452890 65674.039785
LO-REDUCTION     821 65678.167588 65674.039785
LO-REDUCTION     823 65678.152948 65674.039785
EXTENSION        825 65678.133976 65673.094656
LO-REDUCTION     827 65677.581406 65673.094656
LO-REDUCTION     829 65677.011222 65673.094656
LO-REDUCTION     831 65676.627061 65673.094656
LO-REDUCTION     833 65676.519870 65673.094656
LO-REDUCTION     835 65676.464036 65673.094656
LO-REDUCTION     837 65676.241362 65673.094656
LO-REDUCTION     839 65675.969654 65673.094656
EXTENSION        841 65675.961155 65672.385967
LO-REDUCTION     843 65675.716814 65672.385967
LO-REDUCTION     845 65675.043325 65672.385967
LO-REDUCTION     847 65674.880676 65672.385967
LO-REDUCTION     849 65674.587637 65672.385967
EXTENSION        851 65674.337729 65672.133724
LO-REDUCTION     853 65674.281942 65672.133724
EXTENSION        855 65674.213246 65671.503814
LO-REDUCTION     857 65674.039785 65671.503814
LO-REDUCTION     859 65673.938654 65671.503814
LO-REDUCTION     861 65673.685898 65671.503814
LO-REDUCTION     863 65673.507053 65671.503814
EXTENSION        865 65673.369820 65671.026769
LO-REDUCTION     867 65673.094656 65671.026769
LO-REDUCTION     869 65673.020578 65671.026769
LO-REDUCTION     871 65672.981974 65671.026769
LO-REDUCTION     873 65672.966041 65671.026769
LO-REDUCTION     875 65672.734984 65671.026769
EXTENSION        877 65672.435512 65670.585978
LO-REDUCTION     879 65672.385967 65670.585978
HI-REDUCTION     881 65672.370825 65670.585978
LO-REDUCTION     883 65672.202238 65670.585978
LO-REDUCTION     885 65672.133724 65670.585978
LO-REDUCTION     887 65672.009853 65670.585978
LO-REDUCTION     889 65671.971116 65670.585978
LO-REDUCTION     891 65671.960952 65670.585978
LO-REDUCTION     893 65671.654577 65670.585978
LO-REDUCTION     895 65671.614904 65670.585978
